image_name,tags
train_10,agriculture clear primary slash_burn water
train_10__fliph,agriculture clear primary slash_burn water
train_10__flipv,agriculture clear primary slash_burn water
train_10__rot30,agriculture clear primary slash_burn water
train_10__rot60,agriculture clear primary slash_burn water
train_10__trans20_10,agriculture clear primary slash_burn water
train_24,conventional_mine partly_cloudy primary
train_24__fliph,conventional_mine partly_cloudy primary
train_24__flipv,conventional_mine partly_cloudy primary
train_24__rot30,conventional_mine partly_cloudy primary
train_24__rot60,conventional_mine partly_cloudy primary
train_24__trans20_10,conventional_mine partly_cloudy primary
train_43,bare_ground haze
train_43__fliph,bare_ground haze
train_43__flipv,bare_ground haze
train_43__rot30,bare_ground haze
train_43__rot60,bare_ground haze
train_43__trans20_10,bare_ground haze
train_46,bare_ground clear habitation primary
train_46__fliph,bare_ground clear habitation primary
train_46__flipv,bare_ground clear habitation primary
train_46__rot30,bare_ground clear habitation primary
train_46__rot60,bare_ground clear habitation primary
train_46__trans20_10,bare_ground clear habitation primary
train_57,artisinal_mine bare_ground clear primary water
train_57__fliph,artisinal_mine bare_ground clear primary water
train_57__flipv,artisinal_mine bare_ground clear primary water
train_57__rot30,artisinal_mine bare_ground clear primary water
train_57__rot60,artisinal_mine bare_ground clear primary water
train_57__trans20_10,artisinal_mine bare_ground clear primary water
train_70,blooming clear primary
train_70__fliph,blooming clear primary
train_70__flipv,blooming clear primary
train_70__rot30,blooming clear primary
train_70__rot60,blooming clear primary
train_70__trans20_10,blooming clear primary
train_82,blooming clear cultivation habitation primary slash_burn
train_82__fliph,blooming clear cultivation habitation primary slash_burn
train_82__flipv,blooming clear cultivation habitation primary slash_burn
train_82__rot30,blooming clear cultivation habitation primary slash_burn
train_82__rot60,blooming clear cultivation habitation primary slash_burn
train_82__trans20_10,blooming clear cultivation habitation primary slash_burn
train_100,bare_ground clear water
train_100__fliph,bare_ground clear water
train_100__flipv,bare_ground clear water
train_100__rot30,bare_ground clear water
train_100__rot60,bare_ground clear water
train_100__trans20_10,bare_ground clear water
train_123,agriculture bare_ground clear habitation primary road
train_123__fliph,agriculture bare_ground clear habitation primary road
train_123__flipv,agriculture bare_ground clear habitation primary road
train_123__rot30,agriculture bare_ground clear habitation primary road
train_123__rot60,agriculture bare_ground clear habitation primary road
train_123__trans20_10,agriculture bare_ground clear habitation primary road
train_124,bare_ground clear primary
train_124__fliph,bare_ground clear primary
train_124__flipv,bare_ground clear primary
train_124__rot30,bare_ground clear primary
train_124__rot60,bare_ground clear primary
train_124__trans20_10,bare_ground clear primary
train_144,agriculture partly_cloudy primary selective_logging
train_144__fliph,agriculture partly_cloudy primary selective_logging
train_144__flipv,agriculture partly_cloudy primary selective_logging
train_144__rot30,agriculture partly_cloudy primary selective_logging
train_144__rot60,agriculture partly_cloudy primary selective_logging
train_144__trans20_10,agriculture partly_cloudy primary selective_logging
train_151,agriculture clear cultivation primary selective_logging
train_151__fliph,agriculture clear cultivation primary selective_logging
train_151__flipv,agriculture clear cultivation primary selective_logging
train_151__rot30,agriculture clear cultivation primary selective_logging
train_151__rot60,agriculture clear cultivation primary selective_logging
train_151__trans20_10,agriculture clear cultivation primary selective_logging
train_166,clear primary road selective_logging water
train_166__fliph,clear primary road selective_logging water
train_166__flipv,clear primary road selective_logging water
train_166__rot30,clear primary road selective_logging water
train_166__rot60,clear primary road selective_logging water
train_166__trans20_10,clear primary road selective_logging water
train_185,agriculture artisinal_mine clear cultivation habitation primary road water
